club_name,league_name
FK Haugesund,Norway
FK Haugesund,Norway
FK Inhulets,Ukraine
FK Inđija,Serbia
FK Jagodina,Serbia
FK Javor Ivanjica,Serbia
FK Jerv,Norway
FK Jerv,Norway
FK Mačva Šabac,Serbia
FK Metalac Gornji Milanovac,Serbia
FK Mladi Radnik,Serbia
FK Mladost Lučani,Serbia
FK Mynai,Ukraine
FK Napredak Kruševac,Serbia
FK Novi Pazar,Serbia
FK Obilić,Serbia
FK Partizan,Serbia
FK Proleter Novi Sad,Serbia
FK Rad,Serbia
FK Radnik Surdulica,Serbia
FK Radnički 1923,Serbia
FK Radnički Niš,Serbia
FK Sevojno,Serbia
FK Sloboda Užice,Serbia
FK Smederevo,Serbia
FK Spartak Subotica,Serbia
FK Vojvodina,Serbia
FK Voždovac,Serbia
FK Zemun,Serbia
FK Zlatibor Čajetina,Serbia
FK Čukarički,Serbia
FK Železnik,Serbia
Falkenbergs FF,Sweden
Falkirk FC,Scotland
Fenerbahce,Turkey
Ferencvárosi TC,Hungary
Ferencvárosi TC,Hungary
Figueirense FC,Brazil
Fluminense FC,Brazil
Fort Lauderdale CF,Usa
Fort Lauderdale Strikers,Usa
Fortaleza Esporte Clube,Brazil
Forward Madison FC,Usa
Fredrikstad FK,Norway
Fredrikstad FK,Norway
Fresno FC,Usa
GAIS,Sweden
GIF Sundsvall,Sweden
GKS Bełchatów,Polonia
GKS Górnik Łęczna,Polonia
GKS Katowice,Polonia
GKS Piast Gliwice,Polonia
Galatasaray,Turkey
Gaziantep Büyükşehir Belediyespor,Turkey
Gaziantepspor,Turkey
Gefle IF,Sweden
Gençlerbirliği SK,Turkey
Gimnasia y Esgrima,Argentina
Godoy Cruz Antonio Tomba,Argentina
Goiás Esporte Clube,Brazil
Grasshopper Club Zürich,Switzerland
Grazer AK,Austria
Greenock Morton FC,Scotland
Greenville Triumph SC,Usa
Gretna FC,Scotland
Grêmio Esportivo Brasil,Brazil
Grêmio Foot-Ball Porto Alegrense,Brazil
Guarani FC,Brazil
Gyirmót FC Győr,Hungary
Gyirmót FC Győr,Hungary
Győri ETO FC,Hungary
Győri ETO FC,Hungary
Göztepe SK,Turkey
HB Køge,Denmark
HB Køge,Denmark
HNK Cibalia,Croatia
HNK Gorica,Croatia
HNK Hajduk Split,Croatia
HNK Orijent 1919,Croatia
HNK Rijeka,Croatia
HNK Šibenik,Croatia
Hacettepe SK,Turkey
Halmstads BK,Sweden
Hamarkameratene,Norway
Hamarkameratene,Norway
Hamilton Academical FC,Scotland
Hammarby IF,Sweden
Hartford Athletic,Usa
Hatayspor,Turkey
Heart of Midlothian FC,Scotland
Helsingborgs IF,Sweden
Herfølge Boldklub,Denmark
Herfølge Boldklub,Denmark
Hibernian FC,Scotland
Hobro IK,Denmark
Hobro IK,Denmark
Houston Dynamo FC,Usa
Huachipato,Chile
Husqvarna FF,Sweden
Hønefoss BK,Norway
Hønefoss BK,Norway
IA Sud América,Uruguay
